id,entity_name,issuer_name,isin,position_percent,position_date,timestamp
6854,Acadian Asset Management LLC,Hexatronic Group AB,SE0018040677,1.3,2025-08-05,2025-08-06 14:01
6855,Acadian Asset Management LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.7,2025-08-05,2025-08-06 14:01
6856,JPMorgan Asset Management (UK) Ltd,Storytel AB (publ),SE0007439443,0.73,2025-08-05,2025-08-06 14:23
6857,JPMorgan Asset Management (UK) Ltd,CoinShares International Ltd,JE00BLD8Y945,0.7,2025-08-05,2025-08-06 14:23
6858,Arrowstreet Capital Limited Partnership,Fabege AB,SE0011166974,0.91,2025-08-05,2025-08-07 05:11
6859,PDT Partners LLC,Hexatronic Group AB,SE0018040677,1.36,2025-08-06,2025-08-07 05:26
6860,Arrowstreet Capital Limited Partnership,Cibus Nordic Real Estate AB (publ),SE0010832204,1.5,2025-08-05,2025-08-07 05:26
6861,Qube Research & Technologies Limited,AFRY AB,SE0005999836,0.59,2025-08-05,2025-08-07 05:26
6862,PDT Partners LLC,MilDef Group AB,SE0016074249,0.82,2025-08-06,2025-08-07 05:37
6863,Ennismore Fund Management Ltd,Fasadgruppen Group AB (publ),SE0015195771,0.89,2025-08-05,2025-08-07 05:37
6864,Ennismore Fund Management Ltd,Cint Group AB (publ),SE0015483276,0.99,2025-08-05,2025-08-07 05:37
6865,Argonaut Capital Partners LLP,Yubico AB,SE0015657788,0.8,2025-08-07,2025-08-07 09:24
6866,Argonaut Capital Partners LLP,Hexatronic Group AB,SE0018040677,0.95,2025-08-07,2025-08-07 09:36
6867,Brummer Multi-Strategy AB,Oncopeptides AB,SE0009414576,0.72,2025-08-06,2025-08-07 10:40
6868,Citadel Advisors LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.71,2025-08-06,2025-08-07 10:53
6869,Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,0.53,2025-08-06,2025-08-07 11:13
6870,Citadel Advisors LLC,Hexatronic Group AB,SE0018040677,0.77,2025-08-06,2025-08-07 11:13
6871,Connor Clark & Lunn Investment Management Ltd.,Cint Group AB (publ),SE0015483276,0.6,2025-08-06,2025-08-07 12:13
6872,Wellington Management International Limited,Munters Group AB,SE0009806607,0.71,2025-08-06,2025-08-07 12:13
6873,Millennium Capital Partners LLP,Aktiebolaget SKF,SE0000108227,0.6,2025-08-06,2025-08-07 12:26
6874,Millennium Capital Partners LLP,Episurf Medical AB,SE0003491562,1.25,2025-08-06,2025-08-07 12:26
6875,Algert Global LLC,Aktiebolaget Electrolux,SE0016589188,0.5,2025-08-06,2025-08-07 12:41
6876,D E Shaw Co LP,Aktiebolaget Electrolux,SE0016589188,0.89,2025-08-06,2025-08-07 12:41
6877,BlackRock Advisors LLC,Castellum Aktiebolag,SE0000379190,0.0,2025-07-31,2025-08-07 13:59
6878,BlackRock Advisors LLC,Castellum Aktiebolag,SE0000379190,0.0,2025-07-31,2025-08-07 13:59
6879,GUEVOURA FUND,Cell Impact AB (publ),SE0017885379,0.0,2025-07-23,2025-08-07 14:53
