id,entity_name,issuer_name,isin,position_percent,position_date,timestamp
6933,PDT Partners LLC,Aktiebolaget Electrolux,SE0016589188,0.0,2025-07-18,2025-08-15 01:52
6934,ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,0.73,2025-08-14,2025-08-15 10:22
6935,Marshall Wace LLP,Embracer Group AB,SE0023615885,1.02,2025-08-14,2025-08-15 10:37
6936,Citadel Advisors LLC,BioArctic AB,SE0010323311,0.0,2025-06-23,2025-08-15 11:23
6937,Ennismore Fund Management Ltd,Cint Group AB (publ),SE0015483276,0.58,2025-08-14,2025-08-15 12:03
6938,Balyasny Asset Management (UK) LLP,Elekta AB (publ),SE0000163628,0.0,2025-07-04,2025-08-15 12:22
6939,Walleye Capital LLC,Aktiebolaget Electrolux,SE0016589188,0.0,2025-08-01,2025-08-15 14:25
6940,Qube Research & Technologies Limited,Xvivo Perfusion Aktiebolag,SE0004840718,0.59,2025-08-14,2025-08-15 15:09
6941,PDT Partners LLC,Hexatronic Group AB,SE0018040677,1.19,2025-08-15,2025-08-17 16:12
6942,Citadel Advisors LLC,Net Insight AB,SE0000366098,0.6,2025-08-15,2025-08-18 10:44
6943,Brummer Multi-Strategy AB,BONESUPPORT HOLDING AB,SE0009858152,1.0,2025-08-15,2025-08-18 10:44
6944,Marshall Wace LLP,Embracer Group AB,SE0023615885,0.99,2025-08-15,2025-08-18 11:14
6945,Millennium Capital (DIFC) Limited,Boliden AB,SE0020050417,0.52,2025-08-15,2025-08-18 11:32
6946,MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,0.7,2025-08-15,2025-08-18 12:01
6947,BlackRock Investment Management (UK) Limited,Embracer Group AB,SE0023615885,2.87,2025-08-15,2025-08-18 12:01
6948,GUEVOURA FUND,Episurf Medical AB,SE0003491562,0.91,2025-08-15,2025-08-18 13:33
6949,Qube Research & Technologies Limited,Xvivo Perfusion Aktiebolag,SE0004840718,0.6,2025-08-15,2025-08-18 13:44
6950,Qube Research & Technologies Limited,Storskogen Group AB (publ),SE0016797732,0.5,2025-08-15,2025-08-18 13:44
6951,Qube Research & Technologies Limited,AFRY AB,SE0005999836,0.0,2025-08-05,2025-08-18 13:44
6952,CapeView Capital LLP,Vitec Software Group AB (publ),SE0007871363,0.0,2025-07-30,2025-08-19 09:02
6953,Lago Kapital Oy,Eevia Health Plc,FI4000496658,1.96,2025-08-19,2025-08-19 09:28
6954,ALCUR FONDER AB,JM AB,SE0000806994,0.5,2025-08-18,2025-08-19 09:51
6955,Citadel Advisors LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.9,2025-08-18,2025-08-19 10:37
6956,TAGES CAPITAL LLP,Hexatronic Group AB,SE0018040677,0.53,2025-08-18,2025-08-19 10:51
6957,Qube Research & Technologies Limited,Xvivo Perfusion Aktiebolag,SE0004840718,0.59,2025-08-18,2025-08-19 11:23
6958,Qube Research & Technologies Limited,Vitec Software Group AB (publ),SE0007871363,0.9,2025-08-18,2025-08-19 11:23
6959,BlackRock Investment Management (UK) Limited,Embracer Group AB,SE0023615885,2.94,2025-08-18,2025-08-19 12:08
6960,Wellington Management International Limited,Vitec Software Group AB (publ),SE0007871363,0.61,2025-08-18,2025-08-19 13:40
6961,Canada Pension Plan Investment Board,NIBE Industrier AB,SE0015988019,0.54,2025-08-18,2025-08-19 13:40
6962,GUEVOURA FUND,Episurf Medical AB,SE0003491562,1.68,2025-08-18,2025-08-19 14:16
6963,Sellaronda Global Management LP,Better Collective A/S,DK0060952240,0.5,2025-08-19,2025-08-19 18:05
6964,Boldhaven Management LLP,Sdiptech AB (publ),SE0003756758,0.65,2025-08-19,2025-08-19 18:05
6965,PDT Partners LLC,Hexatronic Group AB,SE0018040677,1.09,2025-08-19,2025-08-19 23:54
6966,PDT Partners LLC,MilDef Group AB,SE0016074249,1.0,2025-08-19,2025-08-19 23:54
6967,Arrowstreet Capital Limited Partnership,Hansa Biopharma AB,SE0002148817,0.0,2025-07-17,2025-08-20 13:43
6968,TAGES CAPITAL LLP,Hexatronic Group AB,SE0018040677,0.62,2025-08-19,2025-08-20 14:15
6969,GUEVOURA FUND,Episurf Medical AB,SE0003491562,1.89,2025-08-19,2025-08-20 14:31
6970,Lago Kapital Oy,Eevia Health Plc,FI4000496658,2.0,2025-08-19,2025-08-20 14:45
6971,Kintbury Capital LLP,NIBE Industrier AB,SE0015988019,0.68,2025-08-20,2025-08-20 18:05
6972,Lago Kapital Oy,Eevia Health Plc,FI4000496658,2.02,2025-08-20,2025-08-21 09:07
6973,Marshall Wace LLP,Truecaller AB,SE0016787071,0.5,2025-08-20,2025-08-21 11:21
6974,Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,1.62,2025-08-20,2025-08-21 11:53
6975,MILLENNIUM INTERNATIONAL MANAGEMENT LP,Castellum Aktiebolag,SE0000379190,0.6,2025-08-20,2025-08-21 12:10
6976,BlackRock Financial Management Inc,Castellum Aktiebolag,SE0000379190,0.69,2025-08-20,2025-08-21 12:15
6977,Ilex Capital Partners (UK) LLP,Elekta AB (publ),SE0000163628,0.91,2025-08-20,2025-08-21 15:11
6978,ALCUR FONDER AB,JM AB,SE0000806994,0.63,2025-08-21,2025-08-22 08:56
6979,Lago Kapital Oy,Eevia Health Plc,FI4000496658,2.06,2025-08-21,2025-08-22 08:56
6980,QUARTYS LIMITED,Biovica International AB,SE0008613731,0.0,2025-07-29,2025-08-22 10:22
6981,Brummer Multi-Strategy AB,Oncopeptides AB,SE0009414576,0.64,2025-08-21,2025-08-22 10:41
6982,D E Shaw Co LP,MilDef Group AB,SE0016074249,0.6,2025-08-21,2025-08-22 10:56
6983,Wellington Management International Limited,Munters Group AB,SE0009806607,0.8,2025-08-21,2025-08-22 11:11
6984,Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,0.59,2025-08-21,2025-08-22 11:11
6985,Marshall Wace LLP,Truecaller AB,SE0016787071,0.0,2025-08-20,2025-08-22 11:27
6986,Wellington Management International Limited,Vitec Software Group AB (publ),SE0007871363,0.72,2025-08-21,2025-08-22 11:41
6987,Qube Research & Technologies Limited,Swedencare AB (publ),SE0015988167,0.53,2025-08-21,2025-08-22 13:44
6988,Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,2.19,2025-08-21,2025-08-22 15:07
6989,Walleye Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,0.0,2025-08-12,2025-08-25 06:10
6990,ALCUR FONDER AB,JM AB,SE0000806994,0.0,2025-08-21,2025-08-25 09:49
6991,Algert Global LLC,Aktiebolaget Electrolux,SE0016589188,0.0,2025-08-12,2025-08-25 10:05
6992,Citadel Advisors LLC,Sedana Medical AB (publ),SE0015988373,0.5,2025-08-22,2025-08-25 10:34
6993,D E Shaw Co LP,Hexatronic Group AB,SE0018040677,0.0,2025-08-08,2025-08-25 10:34
6994,Citadel Advisors LLC,G5 Entertainment AB (publ),SE0001824004,0.5,2025-08-22,2025-08-25 10:51
6995,Brummer Multi-Strategy AB,Oncopeptides AB,SE0009414576,1.02,2025-08-22,2025-08-25 10:51
6996,GUEVOURA FUND,BeammWave AB,SE0016799068,0.9,2025-08-22,2025-08-25 11:49
6997,BlackRock Investment Management (UK) Limited,Embracer Group AB,SE0023615885,3.03,2025-08-22,2025-08-25 11:49
6998,Qube Research & Technologies Limited,Surgical Science Sweden AB,SE0014428512,1.35,2025-08-22,2025-08-25 12:07
6999,Lago Kapital Oy,Eevia Health Plc,FI4000496658,2.52,2025-08-22,2025-08-25 17:52
