id,timestamp,company_name,lei,position_percent,latest_position_date
38541,2025-07-25 12:56,Swedencare AB (publ),549300FZT7YIF6SWX789,1.18,2025-07-24
38542,2025-07-25 12:56,Skanska AB,549300UINV5RINHGMG07,1.4,2025-07-24
38543,2025-07-25 12:56,Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,11.08,2025-07-24
38544,2025-07-25 13:07,MoveByBike Europe AB (publ),549300GTYQHR2Z5PS820,1.65,2025-07-25
38545,2025-07-25 13:07,Sedana Medical AB (publ),549300FQ3NJRI56LCX32,2.68,2025-07-24
38546,2025-07-25 13:07,Intellego Technologies AB,549300KTMO4X275LNL41,0.68,2025-07-24
38547,2025-07-25 13:07,Embracer Group AB,549300RFXXKT652HB549,6.13,2025-07-24
38548,2025-07-25 13:07,Aktiebolaget SKF,549300B6HWYEE57O8J84,4.12,2025-07-24
38549,2025-07-25 13:24,Actic Group AB,549300HI1JEY110HXM08,0.37,2025-07-24
38550,2025-07-25 13:41,RaySearch Laboratories AB (publ),549300TYFVYGS0JFWM28,1.2,2025-07-11
38551,2025-07-25 13:41,Sivers Semiconductors AB,254900UBKNY2EJ588J53,0.52,2025-07-24
38552,2025-07-25 13:41,Smart Eye Aktiebolag (publ),549300BUD7ZPFPKM6856,2.97,2025-07-24
38553,2025-07-25 13:41,Sedana Medical AB (publ),549300FQ3NJRI56LCX32,2.78,2025-07-24
38554,2025-07-25 13:43,Yubico AB,549300I9RBIU9DW59H39,6.22,2025-07-24
38555,2025-07-25 13:43,Orexo AB,549300LJ5CCWDPTK9Z08,0.63,2025-07-24
38556,2025-07-25 13:43,Advenica AB (publ),5493000RSYC7Q56WHO76,0.31,2025-07-24
38557,2025-07-25 14:09,Klaria Pharma Holding AB (publ),529900YLMSNHNP7HOD11,0.49,2025-07-11
38558,2025-07-25 14:09,Cibus Nordic Real Estate AB (publ),549300PW36MFK96GCR23,3.27,2025-07-24
38559,2025-07-25 14:27,Powercell Sweden AB (publ),54930075IJ7TGOK3VC02,1.18,2025-07-24
38560,2025-07-25 14:27,Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,11.06,2025-07-24
38561,2025-07-25 14:27,Billerud Aktiebolag (publ),549300YJUYJ9A24RXL71,2.3,2025-07-24
38562,2025-07-25 14:39,Cereno Scientific AB,549300VX8KTMYDS6NM84,0.64,2025-07-24
38563,2025-07-25 14:39,Tobii AB,54930045LD4XTJCBGS35,1.37,2025-07-24
38564,2025-07-25 14:39,Dometic Group AB (publ),549300STIPMK5VSA7Y59,1.67,2025-07-24
38565,2025-07-25 14:39,KAMBI GROUP PLC,2138003TN71ZS4RHIJ87,2.76,2025-07-24
38566,2025-07-25 14:39,Mips AB,549300LZSA4S0L54VQ25,5.53,2025-07-25
38567,2025-07-25 14:39,Swedencare AB (publ),549300FZT7YIF6SWX789,1.38,2025-07-24
38568,2025-07-25 14:55,Elekta AB (publ),54930044O54BK617EP80,7.73,2025-07-24
38569,2025-07-25 14:55,BHG Group AB,549300ZLCWL2QTO3HR86,0.92,2025-07-24
38570,2025-07-25 14:55,Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,10.87,2025-07-24
38571,2025-07-25 14:55,Alligator Bioscience AB,549300E15VI0MB7LXV19,0.73,2025-07-24
38572,2025-07-25 15:11,MilDef Group AB,9845009F7Q0D56B38270,4.31,2025-07-24
38573,2025-07-25 15:11,Hemnet Group AB (publ),5493008VIU67J3HUAR07,2.17,2025-07-24
38574,2025-07-25 15:11,Hexatronic Group AB,2138001VSY1B4U9JLM82,13.93,2025-07-24
38575,2025-07-25 15:11,Dometic Group AB (publ),549300STIPMK5VSA7Y59,1.77,2025-07-24
38576,2025-07-25 15:18,Smart Eye Aktiebolag (publ),549300BUD7ZPFPKM6856,2.86,2025-07-24
38577,2025-07-25 15:18,Vitec Software Group AB (publ),5493005EB5RV1QHE6H94,6.79,2025-07-24
38578,2025-07-25 18:01,Securitas AB,635400TTYKE8EIWDS617,4.81,2025-07-25
38579,2025-07-25 23:58,SSAB AB,529900329VS14ZIML164,3.86,2025-07-25
